centre_code,centre_name,class_of_licence,type_of_service,levels_offered,fees,type_of_citizenship,last_updated,remarks
RC1776,Awwa Ltd.,Class B (Child Care),Full Day,Kindergarten 1 (5 Yrs Old),390.88,Sc,2024-04-28,"This is EIC fees for Singapore Citizen on DS-Plus. SC1 to SC8. Fees range from $2.00 to $390.88,Students who opt out from MeanTest will pay the highest amount $390.88"
RC1909,Pals Preschool,Class B (Child Care),Full Day,Kindergarten 1 (5 Yrs Old),0.0,Sc,2024-06-20,na
